Loan_Type,Income,LoanAmount,Tenure,DownPayment,Credit_History,Dependents,Education,EmploymentType,Experience,LoanPurpose,PropertyValue,GoldValue,SecurityValue,CoApplicantIncome,Loan_Approved
Car,38879,1796659,24,113215,1,2,Graduate,Business Owner,21,Business Expansion,,,,,0
Car,83488,2869822,12,763870,0,3,Not Graduate,Self-Employed,25,Renovation,,,,,0
Car,24695,391278,360,59900,1,1,Graduate,Self-Employed,0,Purchase,,,,,1
Car,130293,2315523,240,514286,1,1,Not Graduate,Freelancer,2,Purchase,,,,,1
Car,46224,2068610,180,330824,0,0,Not Graduate,Business Owner,25,Purchase,,,,,0
Car,159150,3691947,180,423726,0,0,Graduate,Freelancer,19,Purchase,,,,,0
Car,184656,4871170,36,275182,1,0,Not Graduate,Business Owner,0,Business Expansion,,,,,0
Car,96011,4204923,24,982862,1,0,Graduate,Business Owner,27,Refinance,,,,,0
Car,46149,1519499,36,311686,0,4,Graduate,Self-Employed,16,Business Expansion,,,,,0
Car,27159,2288709,12,509578,1,2,Graduate,Self-Employed,29,Education,,,,,0
Car,187923,3366921,36,843010,0,1,Not Graduate,Business Owner,9,Purchase,,,,,0
Car,176848,1857084,24,268150,1,1,Not Graduate,Salaried,27,Purchase,,,,,1
Car,157144,4848078,120,832101,1,2,Not Graduate,Self-Employed,5,Education,,,,,1
Car,40076,1733486,120,322468,0,4,Not Graduate,Business Owner,4,Renovation,,,,,0
Car,194142,3386841,240,835721,1,3,Not Graduate,Salaried,10,Education,,,,,1
Car,163069,3149108,180,890486,0,1,Not Graduate,Business Owner,22,Education,,,,,0
Car,53005,1815796,36,459374,1,4,Graduate,Self-Employed,21,Business Expansion,,,,,0
Car,164676,622461,24,56840,1,4,Graduate,Salaried,22,Purchase,,,,,1
Car,28174,406561,180,89749,1,2,Graduate,Business Owner,4,Education,,,,,1
Car,87234,3794880,12,956127,1,1,Graduate,Self-Employed,28,Renovation,,,,,0
Car,154686,583746,24,149576,1,3,Graduate,Business Owner,0,Education,,,,,1
Car,93942,2791659,360,645763,0,0,Graduate,Self-Employed,25,Renovation,,,,,0
Car,74914,4147210,120,688871,1,4,Graduate,Self-Employed,0,Renovation,,,,,1
Car,137517,645617,240,35144,1,3,Graduate,Business Owner,26,Renovation,,,,,1
Car,65967,168462,36,34259,1,2,Not Graduate,Freelancer,21,Renovation,,,,,1
Car,173275,3047522,36,729702,1,1,Not Graduate,Salaried,3,Business Expansion,,,,,1
Car,84605,612809,36,57672,0,1,Graduate,Salaried,27,Education,,,,,0
Car,60047,363724,240,31208,0,2,Graduate,Business Owner,16,Purchase,,,,,0
Car,110544,569693,180,54506,0,1,Graduate,Self-Employed,6,Education,,,,,0
Car,110534,464282,60,78048,1,4,Not Graduate,Freelancer,24,Refinance,,,,,1
Car,93122,2470204,60,492699,1,4,Graduate,Freelancer,24,Purchase,,,,,1
Car,85482,1454976,120,338372,1,4,Not Graduate,Self-Employed,12,Education,,,,,1
Car,33494,3019240,120,898469,0,0,Not Graduate,Salaried,5,Renovation,,,,,0
Car,37458,359551,12,31159,1,0,Graduate,Business Owner,24,Renovation,,,,,0
Car,78557,3556232,360,549098,0,4,Not Graduate,Business Owner,29,Purchase,,,,,0
Car,153613,4942251,12,562142,1,3,Graduate,Self-Employed,25,Education,,,,,0
Car,84760,2425027,60,153219,0,4,Not Graduate,Salaried,8,Education,,,,,0
Car,189387,2400226,240,252849,1,2,Not Graduate,Salaried,3,Education,,,,,1
Car,150885,3811273,12,1129289,1,1,Not Graduate,Business Owner,4,Business Expansion,,,,,0
Car,167582,2041864,180,190586,1,0,Graduate,Freelancer,23,Education,,,,,1
Car,185548,2846603,120,432089,1,4,Graduate,Freelancer,24,Education,,,,,1
Car,80206,3036751,36,393730,1,3,Not Graduate,Freelancer,11,Refinance,,,,,0
Car,152424,508893,120,90323,1,3,Not Graduate,Business Owner,24,Renovation,,,,,1
Car,160235,4339734,240,450683,0,2,Not Graduate,Freelancer,20,Refinance,,,,,0
Car,193028,2883048,36,324897,0,3,Not Graduate,Business Owner,3,Refinance,,,,,0
Car,199888,3819385,180,495333,0,3,Graduate,Business Owner,2,Purchase,,,,,0
Car,88445,4080783,12,457372,1,2,Graduate,Business Owner,5,Renovation,,,,,0
Car,32696,571247,24,112961,0,3,Not Graduate,Salaried,24,Business Expansion,,,,,0
Car,174304,3359652,60,230197,0,0,Not Graduate,Salaried,11,Refinance,,,,,0
Car,96222,4101275,360,542589,0,0,Graduate,Salaried,6,Refinance,,,,,0
Car,41075,4625106,240,1227292,1,4,Graduate,Salaried,3,Renovation,,,,,1
Car,124242,2383478,240,679562,0,4,Not Graduate,Freelancer,7,Refinance,,,,,0
Car,113300,1404656,360,75446,1,0,Not Graduate,Self-Employed,4,Renovation,,,,,1
Car,99752,675522,180,97081,1,3,Not Graduate,Freelancer,1,Business Expansion,,,,,1
Car,110526,3302740,120,477756,0,0,Graduate,Business Owner,6,Education,,,,,0
Car,89558,186329,24,31482,1,3,Not Graduate,Salaried,14,Refinance,,,,,1
Car,100926,1599662,12,257640,0,1,Graduate,Freelancer,27,Refinance,,,,,0
Car,124919,1343423,36,279605,0,4,Graduate,Salaried,26,Renovation,,,,,0
Car,163824,4996757,36,561778,1,1,Graduate,Salaried,20,Business Expansion,,,,,0
Car,64202,1932053,24,263965,0,2,Graduate,Business Owner,23,Business Expansion,,,,,0
Car,93596,1939932,240,155522,1,4,Not Graduate,Salaried,28,Refinance,,,,,1
Car,106898,2916306,24,579736,1,0,Graduate,Salaried,25,Education,,,,,0
Car,56380,510251,12,122030,0,0,Graduate,Salaried,3,Business Expansion,,,,,0
Car,58955,3012160,36,688369,0,2,Not Graduate,Self-Employed,26,Renovation,,,,,0
Car,130355,1887831,240,337265,1,0,Not Graduate,Salaried,15,Business Expansion,,,,,1
Car,165179,4688263,12,1035892,1,1,Graduate,Freelancer,23,Refinance,,,,,0
Car,141865,748628,24,110539,0,4,Not Graduate,Freelancer,22,Purchase,,,,,0
Car,158164,1710450,360,337591,0,4,Not Graduate,Self-Employed,16,Business Expansion,,,,,0
Car,158597,3535548,12,335724,0,3,Graduate,Salaried,17,Education,,,,,0
Car,64166,4454966,120,790304,0,1,Not Graduate,Business Owner,26,Education,,,,,0
Car,174133,4443301,180,259848,1,0,Not Graduate,Self-Employed,5,Business Expansion,,,,,1
Car,104647,1252050,24,134463,0,0,Not Graduate,Business Owner,19,Purchase,,,,,0
Car,21884,799530,360,60149,0,2,Graduate,Self-Employed,24,Education,,,,,0
Car,34502,4632697,180,1014813,0,2,Graduate,Business Owner,20,Education,,,,,0
Car,168699,2940811,240,537480,0,1,Graduate,Self-Employed,27,Purchase,,,,,0
Car,180932,3653121,120,395683,1,4,Not Graduate,Business Owner,16,Renovation,,,,,1
Car,137697,2133180,360,609800,0,2,Not Graduate,Business Owner,25,Renovation,,,,,0
Car,140388,417422,120,91396,1,0,Not Graduate,Freelancer,30,Business Expansion,,,,,1
Car,197124,4093933,180,904775,1,3,Not Graduate,Business Owner,22,Renovation,,,,,1
Car,18088,4579672,120,1203330,0,0,Graduate,Self-Employed,29,Refinance,,,,,0
Car,169443,2691749,24,699304,1,1,Graduate,Freelancer,10,Business Expansion,,,,,1
Car,169695,2328059,24,238606,1,4,Not Graduate,Salaried,6,Renovation,,,,,0
Car,89333,4251910,60,509616,1,2,Graduate,Self-Employed,1,Refinance,,,,,0
Car,174317,1775227,12,270038,1,1,Not Graduate,Freelancer,17,Purchase,,,,,0
Car,196209,3120244,24,297179,0,2,Not Graduate,Self-Employed,13,Purchase,,,,,0
Car,160194,4353349,180,1120416,0,4,Not Graduate,Salaried,14,Education,,,,,0
Car,37900,766536,360,141185,1,0,Not Graduate,Freelancer,0,Education,,,,,1
Car,157363,3710637,240,701167,1,1,Graduate,Business Owner,2,Purchase,,,,,1
Car,156966,1193126,180,300250,0,2,Not Graduate,Salaried,10,Business Expansion,,,,,0
Car,86445,4182464,360,1182838,0,1,Graduate,Self-Employed,8,Refinance,,,,,0
Car,150996,3564902,120,318920,0,1,Graduate,Salaried,30,Refinance,,,,,0
Car,52574,3099398,24,774607,0,0,Not Graduate,Salaried,1,Business Expansion,,,,,0
Car,93479,2703943,180,764613,1,3,Graduate,Self-Employed,9,Purchase,,,,,1
Car,86932,1802757,36,149563,0,4,Graduate,Freelancer,5,Business Expansion,,,,,0
Car,41665,900676,60,231315,0,0,Graduate,Business Owner,21,Education,,,,,0
Car,190523,4240653,360,667701,1,1,Not Graduate,Salaried,17,Renovation,,,,,1
Car,63250,3053074,36,555582,1,1,Not Graduate,Salaried,28,Business Expansion,,,,,0
Car,196418,4225506,360,315548,1,0,Graduate,Salaried,13,Education,,,,,1
Car,180395,339281,180,38916,0,1,Graduate,Freelancer,16,Renovation,,,,,0
Car,66501,2265624,36,288910,0,0,Graduate,Self-Employed,13,Education,,,,,0
Car,176623,2186670,180,502889,1,4,Not Graduate,Salaried,18,Purchase,,,,,1
Car,91635,765117,12,136625,1,1,Graduate,Business Owner,9,Business Expansion,,,,,0
Car,187914,3405072,360,250032,1,1,Graduate,Business Owner,13,Business Expansion,,,,,1
Car,112571,4434207,24,420577,1,1,Graduate,Business Owner,18,Purchase,,,,,0
Car,69197,4537610,360,341182,0,2,Not Graduate,Business Owner,25,Refinance,,,,,0
Car,101113,3337151,360,209091,1,2,Not Graduate,Self-Employed,20,Renovation,,,,,1
Car,60138,3325460,24,541770,0,2,Graduate,Salaried,5,Education,,,,,0
Car,72358,1555573,240,298774,0,3,Not Graduate,Business Owner,12,Education,,,,,0
Car,98727,2696063,180,293071,0,4,Graduate,Self-Employed,18,Renovation,,,,,0
Car,193192,56804,120,8905,0,2,Not Graduate,Freelancer,29,Refinance,,,,,0
Car,88164,3093799,60,623705,0,1,Not Graduate,Self-Employed,14,Renovation,,,,,0
Car,190768,3263837,60,803494,0,2,Not Graduate,Self-Employed,27,Business Expansion,,,,,0
Car,29038,327249,120,17926,1,0,Graduate,Salaried,12,Renovation,,,,,1
Car,99814,2437404,36,283268,0,0,Not Graduate,Self-Employed,20,Refinance,,,,,0
Car,108056,1299735,36,165651,1,2,Graduate,Salaried,4,Refinance,,,,,1
Car,77368,1502547,360,179275,1,4,Not Graduate,Salaried,16,Renovation,,,,,1
Car,20889,1877372,36,210476,0,0,Graduate,Self-Employed,7,Renovation,,,,,0
Car,190310,588402,12,52069,0,0,Graduate,Self-Employed,23,Education,,,,,0
Car,167662,4424240,180,1074135,1,3,Graduate,Salaried,8,Purchase,,,,,1
Car,93661,4257273,240,425223,0,4,Not Graduate,Salaried,20,Education,,,,,0
Car,28520,3059914,180,775464,0,2,Graduate,Salaried,5,Education,,,,,0
Car,65318,742029,24,198474,1,3,Graduate,Business Owner,29,Business Expansion,,,,,1
Car,62266,4720260,60,638090,1,1,Not Graduate,Salaried,10,Purchase,,,,,0
Car,17215,889510,12,168218,0,0,Not Graduate,Self-Employed,27,Education,,,,,0
Car,149890,1105756,180,85530,1,3,Graduate,Self-Employed,3,Refinance,,,,,1
Car,157071,763907,360,221788,0,3,Graduate,Salaried,12,Renovation,,,,,0
Car,119369,593295,360,93434,1,3,Graduate,Freelancer,12,Refinance,,,,,1
Car,75586,2836936,36,370443,0,1,Graduate,Freelancer,1,Purchase,,,,,0
Car,194298,4586955,180,578286,1,3,Graduate,Freelancer,19,Renovation,,,,,1
Car,189382,4325867,360,843022,0,0,Not Graduate,Freelancer,2,Renovation,,,,,0
Car,56830,4137958,12,1091261,1,4,Graduate,Salaried,3,Business Expansion,,,,,0
Car,16349,2795096,60,715474,0,1,Not Graduate,Business Owner,23,Business Expansion,,,,,0
Car,86000,3523683,180,291602,1,4,Graduate,Salaried,1,Purchase,,,,,1
Car,103006,2103512,120,589908,0,1,Not Graduate,Business Owner,24,Education,,,,,0
Car,42042,4635768,36,1344601,1,2,Not Graduate,Salaried,0,Purchase,,,,,0
Car,197466,386241,60,28771,1,0,Not Graduate,Business Owner,11,Refinance,,,,,1
Car,19734,143714,36,34008,0,0,Not Graduate,Business Owner,27,Purchase,,,,,0
Car,145434,830925,24,141750,0,4,Not Graduate,Business Owner,29,Renovation,,,,,0
Car,110048,60908,12,8976,1,0,Graduate,Business Owner,6,Renovation,,,,,1
Car,146938,2558276,360,637564,1,3,Not Graduate,Salaried,3,Renovation,,,,,1
Car,34074,921839,24,180075,0,4,Graduate,Self-Employed,22,Business Expansion,,,,,0
Car,132435,4867664,360,1431410,1,2,Not Graduate,Freelancer,10,Renovation,,,,,1
Car,110765,2708971,180,796990,0,3,Graduate,Self-Employed,16,Purchase,,,,,0
Car,56608,122616,60,13917,0,0,Not Graduate,Salaried,10,Education,,,,,0
Car,149020,2887778,24,519028,1,0,Graduate,Self-Employed,11,Renovation,,,,,0
Car,144054,2027427,120,144640,1,4,Graduate,Self-Employed,11,Refinance,,,,,1
Car,188710,873410,12,183334,0,2,Not Graduate,Business Owner,7,Education,,,,,0
Car,45609,3261212,24,881762,0,2,Graduate,Self-Employed,17,Renovation,,,,,0
Car,197568,484682,36,39206,1,0,Not Graduate,Business Owner,7,Purchase,,,,,1
Car,62063,2100444,24,145782,0,1,Graduate,Business Owner,23,Purchase,,,,,0
Car,153074,3038457,12,451035,1,4,Graduate,Self-Employed,2,Renovation,,,,,0
Car,54245,1316728,360,277258,0,3,Graduate,Business Owner,16,Renovation,,,,,0
Car,42526,1410114,120,391851,0,4,Graduate,Freelancer,3,Refinance,,,,,0
Car,108207,2622200,24,566983,0,1,Graduate,Business Owner,11,Renovation,,,,,0
Car,18724,2308887,180,589056,1,1,Not Graduate,Self-Employed,5,Refinance,,,,,0
Car,68256,2648772,180,553386,1,4,Not Graduate,Freelancer,26,Renovation,,,,,1
Car,145485,924875,24,210086,1,0,Not Graduate,Self-Employed,8,Renovation,,,,,1
Car,80807,630361,360,85788,0,1,Not Graduate,Business Owner,20,Purchase,,,,,0
Car,20634,3329708,60,317635,0,2,Graduate,Self-Employed,4,Purchase,,,,,0
Car,57911,4007616,180,438063,0,0,Graduate,Freelancer,25,Renovation,,,,,0
Car,132767,2134873,120,136081,0,0,Graduate,Business Owner,8,Refinance,,,,,0
Car,193872,1611967,360,290503,0,4,Graduate,Self-Employed,9,Refinance,,,,,0
Car,25390,4083240,60,1050363,1,3,Graduate,Salaried,7,Refinance,,,,,0
Car,119317,3516007,12,293021,0,1,Graduate,Freelancer,24,Refinance,,,,,0
Car,41099,2589544,36,355911,1,2,Graduate,Self-Employed,30,Renovation,,,,,0
Car,157369,986113,12,292048,0,4,Graduate,Salaried,16,Education,,,,,0
Car,77250,1654188,24,280671,1,4,Graduate,Freelancer,6,Renovation,,,,,0
Car,192418,1304211,24,105649,0,2,Graduate,Business Owner,10,Business Expansion,,,,,0
Car,195939,4803541,12,1009513,0,0,Graduate,Business Owner,24,Education,,,,,0
Car,30446,691166,120,71970,1,4,Not Graduate,Self-Employed,5,Business Expansion,,,,,1
Car,73798,4015192,12,1119494,0,3,Not Graduate,Freelancer,17,Refinance,,,,,0
Car,186534,3352317,24,741316,1,4,Graduate,Self-Employed,23,Business Expansion,,,,,0
Car,156825,2905364,360,711563,0,4,Graduate,Freelancer,7,Education,,,,,0
Car,196486,4040018,12,392166,0,2,Not Graduate,Salaried,30,Purchase,,,,,0
Car,23838,1638702,180,104092,1,1,Graduate,Business Owner,17,Purchase,,,,,1
Car,29385,1212436,120,292277,1,3,Graduate,Salaried,8,Refinance,,,,,1
Car,135601,721638,360,163813,1,2,Graduate,Freelancer,21,Education,,,,,1
Car,98480,286915,60,45809,1,1,Graduate,Freelancer,2,Education,,,,,1
Car,20413,3239406,180,454226,0,4,Graduate,Freelancer,2,Purchase,,,,,0
Car,49192,3629219,24,477710,0,2,Graduate,Salaried,13,Refinance,,,,,0
Car,159057,349405,240,87087,1,3,Not Graduate,Business Owner,1,Business Expansion,,,,,1
Car,145217,4497761,24,1069991,1,4,Graduate,Self-Employed,28,Refinance,,,,,0
Car,161072,2142900,180,550990,1,3,Not Graduate,Business Owner,16,Purchase,,,,,1
Car,20402,1725306,12,260434,0,3,Not Graduate,Freelancer,27,Refinance,,,,,0
Car,68119,768204,360,144466,0,0,Graduate,Freelancer,20,Education,,,,,0
Car,180491,4374250,360,476472,1,1,Graduate,Business Owner,3,Renovation,,,,,1
Car,130228,3711640,24,811818,0,1,Graduate,Self-Employed,22,Refinance,,,,,0
Car,116422,4717076,240,407466,0,0,Graduate,Business Owner,3,Renovation,,,,,0
Car,41015,4980545,240,282488,1,1,Not Graduate,Salaried,14,Purchase,,,,,1
Car,170262,3357504,24,322308,1,4,Not Graduate,Salaried,21,Renovation,,,,,0
Car,47486,508474,12,49936,1,4,Not Graduate,Salaried,0,Business Expansion,,,,,0
Car,144964,4185918,240,1099986,0,0,Not Graduate,Salaried,3,Refinance,,,,,0
Car,64285,4573139,24,1145093,0,4,Not Graduate,Business Owner,13,Renovation,,,,,0
Car,85217,61461,24,12809,1,1,Graduate,Salaried,13,Purchase,,,,,1
Car,154459,4878742,360,1164459,0,0,Not Graduate,Freelancer,23,Purchase,,,,,0
Car,25622,2043618,120,156668,0,4,Not Graduate,Salaried,27,Education,,,,,0
Car,77044,2990717,60,244964,1,1,Not Graduate,Business Owner,6,Business Expansion,,,,,0
