Loan_Type,Income,LoanAmount,Tenure,DownPayment,Credit_History,Dependents,Education,EmploymentType,Experience,LoanPurpose,PropertyValue,GoldValue,SecurityValue,CoApplicantIncome,Loan_Approved
Gold,101444,2594666,240,180438,0,2,Not Graduate,Freelancer,14,Renovation,,2644211.0,,,0
Gold,107648,1280238,180,245852,1,4,Graduate,Business Owner,20,Refinance,,1307648.0,,,1
Gold,77936,559600,180,158148,0,3,Graduate,Salaried,30,Refinance,,591123.0,,,0
Gold,23470,1133725,120,74895,0,4,Not Graduate,Salaried,30,Refinance,,1165660.0,,,0
Gold,156014,273068,120,62094,1,3,Not Graduate,Business Owner,17,Business Expansion,,295085.0,,,1
Gold,186417,177974,240,19999,0,3,Graduate,Freelancer,7,Refinance,,207651.0,,,0
Gold,125987,1001659,60,245094,1,3,Not Graduate,Salaried,5,Renovation,,1024599.0,,,1
Gold,28696,964416,360,195797,0,0,Graduate,Self-Employed,24,Refinance,,999596.0,,,0
Gold,99491,2642305,12,488500,1,3,Not Graduate,Self-Employed,27,Purchase,,2647573.0,,,0
Gold,151882,783358,240,195803,1,4,Graduate,Freelancer,17,Education,,804343.0,,,1
Gold,33972,3733053,180,434733,0,1,Not Graduate,Business Owner,30,Renovation,,3751659.0,,,0
Gold,154438,4294097,12,634048,0,4,Graduate,Self-Employed,8,Education,,4330855.0,,,0
Gold,48702,1540572,36,346943,1,0,Graduate,Salaried,11,Refinance,,1555507.0,,,0
Gold,73606,1948878,12,546844,1,1,Not Graduate,Business Owner,21,Purchase,,1974716.0,,,0
Gold,115503,2657779,60,612571,0,2,Graduate,Business Owner,2,Refinance,,2688550.0,,,0
Gold,192312,1312140,180,318410,1,0,Graduate,Self-Employed,25,Education,,1355376.0,,,1
Gold,101499,2984832,240,833803,0,0,Not Graduate,Salaried,28,Renovation,,3033925.0,,,0
Gold,95737,250648,360,50617,1,3,Not Graduate,Business Owner,14,Refinance,,290897.0,,,1
Gold,15128,938448,120,224811,0,4,Graduate,Business Owner,13,Business Expansion,,963057.0,,,0
Gold,104173,4905714,180,566333,1,1,Not Graduate,Salaried,30,Renovation,,4936210.0,,,1
Gold,162646,1154128,12,267367,0,2,Not Graduate,Salaried,22,Education,,1166399.0,,,0
Gold,62967,1224715,36,329237,0,2,Graduate,Business Owner,4,Purchase,,1252292.0,,,0
Gold,166308,1069172,240,317384,0,1,Not Graduate,Business Owner,30,Purchase,,1094504.0,,,0
Gold,98958,3431896,60,430928,1,0,Graduate,Business Owner,24,Refinance,,3464441.0,,,0
Gold,85742,2263791,36,611655,0,0,Not Graduate,Freelancer,3,Education,,2299893.0,,,0
Gold,159453,2434559,360,450723,1,3,Not Graduate,Salaried,26,Purchase,,2452764.0,,,1
Gold,103845,1028414,24,54092,1,0,Graduate,Self-Employed,21,Purchase,,1052395.0,,,1
Gold,64366,1330842,120,186995,1,0,Graduate,Self-Employed,30,Business Expansion,,1364593.0,,,1
Gold,172059,778695,240,196011,0,0,Graduate,Salaried,2,Renovation,,812351.0,,,0
Gold,151556,3708581,24,901472,0,4,Not Graduate,Business Owner,27,Business Expansion,,3754634.0,,,0
Gold,95927,2639819,180,528986,1,1,Not Graduate,Business Owner,25,Purchase,,2652240.0,,,1
Gold,176457,3400881,24,347160,0,1,Not Graduate,Self-Employed,10,Business Expansion,,3414849.0,,,0
Gold,181686,1412079,12,164422,1,1,Graduate,Business Owner,2,Renovation,,1432655.0,,,0
