Loan_Type,Income,LoanAmount,Tenure,DownPayment,Credit_History,Dependents,Education,EmploymentType,Experience,LoanPurpose,PropertyValue,GoldValue,SecurityValue,CoApplicantIncome,Loan_Approved
Home,50414,1223964,120,156245,0,4,Not Graduate,Business Owner,16,Purchase,2337470.0,,,,0
Home,191918,3244133,12,707880,1,3,Graduate,Business Owner,26,Refinance,4225302.0,,,,0
Home,190443,3456635,360,587789,0,4,Graduate,Business Owner,8,Education,3719950.0,,,,0
Home,189107,4146630,12,537288,1,0,Not Graduate,Freelancer,20,Education,4721825.0,,,,0
Home,30623,590449,12,126120,0,0,Not Graduate,Self-Employed,18,Refinance,1216120.0,,,,0
Home,192786,3632672,24,714677,0,2,Graduate,Salaried,13,Renovation,5278342.0,,,,0
Home,159806,4145034,360,1095314,1,3,Not Graduate,Business Owner,17,Renovation,4834113.0,,,,1
Home,152780,540361,360,94125,0,1,Graduate,Self-Employed,6,Refinance,1657315.0,,,,0
Home,81767,2209108,36,289174,1,2,Not Graduate,Salaried,23,Renovation,3444967.0,,,,0
Home,107029,4126942,60,1197687,1,4,Graduate,Business Owner,25,Renovation,4447255.0,,,,1
Home,43148,1201712,180,110992,1,2,Graduate,Business Owner,23,Renovation,2497355.0,,,,1
Home,65983,380425,36,92897,1,4,Not Graduate,Salaried,0,Business Expansion,1224128.0,,,,1
Home,185226,4809805,240,1030939,1,0,Not Graduate,Self-Employed,2,Renovation,6411971.0,,,,1
Home,27246,4134716,60,1024374,1,3,Not Graduate,Business Owner,3,Refinance,5140663.0,,,,0
Home,20404,1766446,180,319981,1,1,Graduate,Salaried,22,Education,3575515.0,,,,1
Home,88085,3410819,360,549586,0,4,Not Graduate,Salaried,26,Refinance,4794468.0,,,,0
Home,192118,620858,12,172454,0,3,Not Graduate,Self-Employed,3,Education,1291938.0,,,,0
Home,172609,4480444,36,584827,0,2,Graduate,Freelancer,19,Renovation,5124707.0,,,,0
Home,26441,2454989,240,300409,1,3,Graduate,Salaried,14,Business Expansion,3921547.0,,,,1
Home,37783,904088,60,229058,1,1,Not Graduate,Business Owner,25,Purchase,2364019.0,,,,1
Home,97093,484338,60,46915,1,4,Not Graduate,Business Owner,5,Education,2458301.0,,,,1
Home,182557,3286356,240,644411,0,4,Graduate,Self-Employed,17,Refinance,4380565.0,,,,0
Home,173230,382122,120,69098,0,3,Graduate,Salaried,28,Business Expansion,1996974.0,,,,0
Home,128256,2126320,360,136330,1,3,Not Graduate,Salaried,8,Refinance,3560782.0,,,,1
Home,166411,2801875,360,179084,0,2,Graduate,Freelancer,26,Education,4016143.0,,,,0
Home,173701,4896241,12,1131069,1,2,Not Graduate,Salaried,23,Education,6229992.0,,,,0
Home,120573,1343780,180,107815,1,2,Graduate,Salaried,8,Education,2648657.0,,,,1
Home,103899,4690716,24,1351352,1,0,Graduate,Freelancer,8,Business Expansion,5806764.0,,,,0
Home,52793,2003814,180,110278,0,2,Not Graduate,Freelancer,3,Purchase,2448437.0,,,,0
Home,100659,3792908,60,224429,1,1,Graduate,Salaried,11,Education,4162731.0,,,,0
Home,167219,2173792,24,466228,0,3,Graduate,Freelancer,18,Renovation,3786855.0,,,,0
Home,163161,438241,36,24038,0,1,Not Graduate,Business Owner,9,Refinance,2033737.0,,,,0
Home,146641,4775591,36,601642,1,1,Graduate,Salaried,17,Purchase,5583617.0,,,,0
Home,118227,4376923,240,1166362,0,0,Not Graduate,Freelancer,14,Renovation,5049883.0,,,,0
Home,36258,4685783,24,1312576,1,3,Graduate,Salaried,1,Business Expansion,6664874.0,,,,0
Home,190161,948808,24,261475,1,2,Graduate,Business Owner,11,Renovation,2813587.0,,,,1
Home,192163,441950,180,103373,1,4,Graduate,Business Owner,23,Refinance,2436060.0,,,,1
Home,111563,4371919,120,266304,0,2,Graduate,Freelancer,22,Purchase,4873841.0,,,,0
Home,195603,4737237,36,869002,1,0,Graduate,Salaried,25,Education,5634016.0,,,,0
Home,37916,2196823,240,462051,0,0,Graduate,Self-Employed,24,Business Expansion,3347456.0,,,,0
Home,47343,907825,240,180891,0,2,Not Graduate,Self-Employed,9,Business Expansion,2175320.0,,,,0
Home,17194,3283658,60,758234,0,4,Not Graduate,Self-Employed,6,Education,4004483.0,,,,0
Home,82479,2128941,12,375815,1,4,Not Graduate,Self-Employed,3,Business Expansion,3964343.0,,,,0
Home,177037,515093,24,114655,1,0,Graduate,Freelancer,30,Refinance,1172132.0,,,,1
Home,103031,3078632,60,475817,0,1,Graduate,Freelancer,8,Renovation,4996089.0,,,,0
Home,144200,449695,12,82696,0,0,Not Graduate,Freelancer,0,Purchase,1021263.0,,,,0
Home,174591,941342,360,141915,0,0,Not Graduate,Salaried,4,Purchase,2683949.0,,,,0
Home,114892,2415079,360,630600,1,0,Not Graduate,Freelancer,0,Education,3209480.0,,,,1
