Loan_Type,Income,LoanAmount,Tenure,DownPayment,Credit_History,Dependents,Education,EmploymentType,Experience,LoanPurpose,PropertyValue,GoldValue,SecurityValue,CoApplicantIncome,Loan_Approved
Business,80813,2007914,24,225416,0,4,Graduate,Salaried,6,Purchase,,,,,0
Business,23796,3349681,360,328447,1,0,Graduate,Business Owner,1,Education,,,,,1
Business,43131,835012,12,49470,0,2,Graduate,Business Owner,23,Education,,,,,0
Business,148487,2872590,12,424053,1,4,Graduate,Business Owner,26,Purchase,,,,,0
Business,193289,605374,240,87466,1,3,Graduate,Business Owner,20,Business Expansion,,,,,1
Business,174050,2069726,120,419110,0,1,Not Graduate,Salaried,16,Education,,,,,0
Business,190904,3983786,240,199560,1,2,Graduate,Self-Employed,15,Business Expansion,,,,,1
Business,20478,3459153,180,565130,0,2,Graduate,Business Owner,17,Refinance,,,,,0
Business,125964,3203215,240,828004,0,0,Graduate,Freelancer,26,Refinance,,,,,0
Business,73054,1858412,180,393740,0,3,Graduate,Business Owner,7,Refinance,,,,,0
Business,47782,3325910,240,715964,0,1,Not Graduate,Salaried,3,Renovation,,,,,0
Business,135222,120110,60,29745,0,2,Graduate,Business Owner,29,Education,,,,,0
Business,167374,2277700,24,183789,1,2,Not Graduate,Freelancer,21,Education,,,,,0
Business,145929,475406,12,57563,1,3,Not Graduate,Salaried,2,Business Expansion,,,,,1
Business,130387,2908535,240,416749,1,2,Not Graduate,Self-Employed,26,Renovation,,,,,1
Business,169269,962499,12,132708,1,1,Not Graduate,Self-Employed,15,Business Expansion,,,,,1
Business,132038,3528600,120,676775,1,4,Graduate,Freelancer,1,Education,,,,,1
Business,74380,3447250,240,641166,1,4,Graduate,Freelancer,11,Business Expansion,,,,,1
Business,130846,2547240,36,602518,0,0,Graduate,Self-Employed,23,Purchase,,,,,0
Business,173208,3766905,36,557969,1,0,Graduate,Business Owner,23,Purchase,,,,,0
Business,195424,754455,180,164494,1,4,Graduate,Salaried,0,Business Expansion,,,,,1
Business,75865,4905452,120,1020521,0,4,Graduate,Salaried,26,Renovation,,,,,0
Business,46542,4796161,60,316683,0,0,Not Graduate,Freelancer,15,Refinance,,,,,0
Business,52879,804534,120,143870,1,1,Graduate,Salaried,28,Education,,,,,1
Business,103362,2153305,240,582244,1,1,Graduate,Self-Employed,8,Business Expansion,,,,,1
Business,137590,4602557,12,1088247,1,0,Graduate,Self-Employed,11,Education,,,,,0
Business,171615,95301,240,22685,1,1,Not Graduate,Salaried,26,Education,,,,,1
Business,141693,2729916,120,760850,0,4,Graduate,Salaried,26,Renovation,,,,,0
Business,159510,2593486,24,510135,1,4,Not Graduate,Freelancer,22,Renovation,,,,,0
Business,114669,3598548,24,989986,0,2,Graduate,Freelancer,15,Refinance,,,,,0
Business,99188,3493642,180,447112,1,4,Not Graduate,Freelancer,29,Renovation,,,,,1
Business,44686,2992109,360,187595,1,1,Graduate,Freelancer,16,Purchase,,,,,1
Business,82200,602909,120,50074,0,4,Graduate,Freelancer,1,Refinance,,,,,0
Business,100620,3262129,240,406821,0,2,Not Graduate,Salaried,14,Purchase,,,,,0
Business,97783,812838,360,110463,1,3,Graduate,Self-Employed,25,Education,,,,,1
Business,187474,988289,12,286887,0,0,Graduate,Self-Employed,28,Renovation,,,,,0
Business,89002,4194408,60,453483,1,2,Not Graduate,Self-Employed,13,Refinance,,,,,0
Business,33173,3862236,60,602966,0,4,Not Graduate,Self-Employed,13,Purchase,,,,,0
Business,43002,3218846,60,570103,1,2,Not Graduate,Salaried,6,Renovation,,,,,0
Business,37408,2911814,12,705066,0,2,Not Graduate,Salaried,8,Purchase,,,,,0
Business,99351,4156941,120,729980,1,2,Not Graduate,Self-Employed,30,Business Expansion,,,,,1
Business,47126,1410519,12,199129,0,4,Not Graduate,Freelancer,29,Purchase,,,,,0
Business,139281,1372675,240,146468,1,3,Graduate,Freelancer,7,Business Expansion,,,,,1
Business,162102,203515,180,33386,1,1,Not Graduate,Self-Employed,9,Purchase,,,,,1
Business,65223,789895,60,116268,0,3,Not Graduate,Salaried,21,Purchase,,,,,0
Business,37508,3356795,60,730855,1,3,Not Graduate,Salaried,1,Refinance,,,,,0
Business,37473,1104168,36,153436,0,3,Graduate,Business Owner,9,Purchase,,,,,0
Business,171344,2707243,180,661566,1,3,Not Graduate,Self-Employed,25,Education,,,,,1
Business,108726,4336931,120,642333,1,2,Graduate,Self-Employed,11,Education,,,,,1
Business,189837,4094625,12,1015658,1,4,Not Graduate,Business Owner,24,Business Expansion,,,,,0
Business,19796,4354999,240,358990,0,0,Graduate,Business Owner,27,Renovation,,,,,0
Business,90596,3226403,180,461383,0,3,Not Graduate,Business Owner,5,Education,,,,,0
Business,20949,2519259,12,226505,1,2,Not Graduate,Self-Employed,0,Renovation,,,,,0
Business,149011,1611456,240,165052,1,4,Not Graduate,Business Owner,14,Education,,,,,1
Business,44518,1183813,24,311343,0,3,Not Graduate,Salaried,17,Refinance,,,,,0
Business,22419,856305,24,81719,0,1,Graduate,Salaried,15,Business Expansion,,,,,0
Business,151250,2048165,180,399780,0,3,Graduate,Salaried,7,Purchase,,,,,0
Business,183470,2651334,360,259279,0,0,Not Graduate,Business Owner,5,Refinance,,,,,0
Business,125900,4587825,180,475122,1,3,Graduate,Business Owner,23,Business Expansion,,,,,1
Business,120274,1471080,360,238045,0,1,Not Graduate,Self-Employed,15,Refinance,,,,,0
Business,100589,4272741,24,1250139,0,0,Graduate,Freelancer,27,Purchase,,,,,0
Business,89290,423635,60,115101,0,0,Graduate,Self-Employed,16,Renovation,,,,,0
Business,64482,4330895,120,892135,0,0,Not Graduate,Salaried,5,Business Expansion,,,,,0
Business,144312,80856,12,16500,1,0,Graduate,Freelancer,6,Business Expansion,,,,,1
Business,177155,3802237,180,726713,1,4,Graduate,Salaried,19,Renovation,,,,,1
Business,116221,4369872,180,265405,0,2,Graduate,Self-Employed,22,Business Expansion,,,,,0
Business,15560,4930253,60,529863,1,0,Graduate,Business Owner,20,Education,,,,,0
Business,49192,4599118,180,458819,0,4,Graduate,Salaried,4,Business Expansion,,,,,0
Business,196218,4915246,180,1285683,0,2,Not Graduate,Freelancer,2,Education,,,,,0
Business,163028,2877603,360,849364,0,3,Not Graduate,Self-Employed,20,Education,,,,,0
Business,28104,107715,120,15238,1,4,Graduate,Business Owner,28,Refinance,,,,,1
Business,115192,2461160,240,228437,1,1,Not Graduate,Business Owner,3,Renovation,,,,,1
Business,190451,4669940,12,359757,1,1,Graduate,Freelancer,14,Education,,,,,0
Business,94438,1729478,36,452520,0,4,Not Graduate,Salaried,17,Education,,,,,0
Business,49084,91590,120,20715,0,0,Graduate,Salaried,29,Business Expansion,,,,,0
Business,26489,4212561,180,276895,0,4,Not Graduate,Self-Employed,11,Renovation,,,,,0
Business,19483,506930,120,81262,1,1,Graduate,Salaried,25,Renovation,,,,,1
Business,45095,3250214,24,697189,1,4,Graduate,Freelancer,27,Purchase,,,,,0
Business,151342,4120354,36,1064648,1,4,Graduate,Self-Employed,16,Business Expansion,,,,,0
Business,74052,1657932,36,186982,1,3,Not Graduate,Salaried,10,Renovation,,,,,0
Business,169484,2710937,24,528514,1,1,Not Graduate,Freelancer,21,Purchase,,,,,0
Business,103178,886364,180,185788,1,4,Not Graduate,Freelancer,28,Purchase,,,,,1
Business,78696,3006250,180,861572,1,4,Not Graduate,Business Owner,20,Purchase,,,,,1
Business,191972,2310031,180,346302,1,4,Not Graduate,Self-Employed,8,Refinance,,,,,1
Business,56129,1726254,24,364712,0,4,Not Graduate,Business Owner,13,Renovation,,,,,0
Business,85420,653660,120,159379,1,1,Graduate,Business Owner,18,Purchase,,,,,1
Business,111600,1075650,12,109581,1,4,Graduate,Self-Employed,21,Education,,,,,0
Business,116107,103660,360,18301,0,2,Not Graduate,Business Owner,1,Renovation,,,,,0
Business,92140,3448969,120,417545,0,1,Not Graduate,Business Owner,20,Refinance,,,,,0
Business,152849,798893,240,190288,0,0,Graduate,Self-Employed,21,Education,,,,,0
Business,43175,4500955,24,313254,1,4,Graduate,Business Owner,0,Renovation,,,,,0
Business,34905,1157706,240,280595,1,3,Not Graduate,Freelancer,21,Renovation,,,,,1
Business,72586,3811771,36,1090740,1,3,Graduate,Salaried,22,Purchase,,,,,0
Business,119877,2307179,120,589935,1,1,Not Graduate,Self-Employed,5,Renovation,,,,,1
Business,153334,2198257,12,212056,1,2,Graduate,Self-Employed,10,Renovation,,,,,0
Business,71783,1491222,120,137437,1,4,Graduate,Freelancer,1,Education,,,,,1
Business,51447,2390464,60,120522,1,1,Graduate,Business Owner,7,Purchase,,,,,0
Business,23948,2873640,120,684714,0,0,Graduate,Salaried,15,Refinance,,,,,0
Business,42176,4258976,120,732231,1,1,Not Graduate,Self-Employed,5,Refinance,,,,,0
Business,195111,2575618,240,195773,0,3,Graduate,Self-Employed,21,Renovation,,,,,0
Business,133081,3777355,240,528636,0,0,Graduate,Self-Employed,0,Education,,,,,0
Business,194150,4465486,360,1143289,1,1,Graduate,Business Owner,3,Business Expansion,,,,,1
Business,45472,3385304,120,867546,1,0,Not Graduate,Freelancer,21,Renovation,,,,,1
Business,29500,113439,24,11850,1,2,Graduate,Salaried,23,Business Expansion,,,,,1
Business,45179,4974264,24,524129,1,1,Graduate,Self-Employed,19,Business Expansion,,,,,0
Business,69949,3557609,36,946237,0,0,Graduate,Self-Employed,11,Purchase,,,,,0
Business,139421,4591092,60,957577,0,0,Not Graduate,Self-Employed,0,Education,,,,,0
Business,76603,4627465,36,1063711,0,3,Graduate,Salaried,27,Business Expansion,,,,,0
Business,120766,4897528,180,669455,1,0,Graduate,Salaried,6,Purchase,,,,,1
Business,135733,4424193,60,1151007,0,4,Not Graduate,Freelancer,5,Business Expansion,,,,,0
Business,195783,3920952,60,878005,0,0,Graduate,Business Owner,18,Business Expansion,,,,,0
Business,82980,4381630,180,249489,1,0,Not Graduate,Freelancer,26,Renovation,,,,,1
Business,178469,3528865,120,950550,1,0,Not Graduate,Salaried,14,Business Expansion,,,,,1
Business,145702,1315643,120,367285,0,4,Graduate,Salaried,13,Purchase,,,,,0
Business,133264,4164883,180,616415,1,4,Not Graduate,Self-Employed,26,Renovation,,,,,1
Business,175406,3908603,180,375430,0,1,Not Graduate,Salaried,28,Purchase,,,,,0
Business,22677,2728011,60,341093,1,3,Graduate,Self-Employed,5,Purchase,,,,,0
Business,68865,961181,120,54652,1,3,Graduate,Freelancer,28,Renovation,,,,,1
Business,98878,1440147,360,194695,0,4,Not Graduate,Freelancer,22,Business Expansion,,,,,0
Business,40090,4018634,360,1122866,0,1,Not Graduate,Business Owner,25,Renovation,,,,,0
Business,180637,2301021,60,537723,1,0,Not Graduate,Freelancer,13,Renovation,,,,,1
Business,55378,116632,60,11071,0,2,Graduate,Freelancer,17,Purchase,,,,,0
Business,23353,2009062,12,431982,1,0,Not Graduate,Self-Employed,23,Renovation,,,,,0
Business,169328,1376072,36,361746,0,2,Graduate,Self-Employed,26,Renovation,,,,,0
Business,104569,2818277,120,415378,0,2,Not Graduate,Self-Employed,16,Refinance,,,,,0
Business,30296,3389376,360,744580,0,1,Not Graduate,Self-Employed,20,Purchase,,,,,0
Business,66405,729509,120,195434,1,2,Graduate,Self-Employed,29,Refinance,,,,,1
Business,70938,216851,120,25013,1,2,Not Graduate,Self-Employed,30,Purchase,,,,,1
Business,169881,288633,360,42800,1,2,Not Graduate,Business Owner,0,Purchase,,,,,1
Business,107681,2828388,24,617509,1,2,Graduate,Freelancer,10,Renovation,,,,,0
Business,191170,4617648,360,860275,1,3,Graduate,Freelancer,29,Business Expansion,,,,,1
Business,104008,3660940,180,421166,1,0,Graduate,Business Owner,17,Education,,,,,1
Business,174934,4227528,24,785528,0,2,Graduate,Self-Employed,8,Renovation,,,,,0
Business,16894,3283622,60,565882,1,1,Graduate,Business Owner,15,Renovation,,,,,0
Business,23150,2578096,12,636965,0,1,Graduate,Self-Employed,10,Renovation,,,,,0
Business,148752,2630424,360,212131,1,2,Graduate,Business Owner,24,Education,,,,,1
Business,164706,3612107,120,821648,1,4,Not Graduate,Salaried,22,Refinance,,,,,1
Business,36094,4186503,24,1172627,1,4,Not Graduate,Business Owner,10,Refinance,,,,,0
Business,23824,4215997,120,1207751,1,1,Graduate,Salaried,9,Education,,,,,0
Business,135066,1669818,180,166315,0,3,Graduate,Business Owner,22,Renovation,,,,,0
Business,199963,75901,24,12742,1,1,Graduate,Salaried,15,Purchase,,,,,1
Business,178269,1066022,240,266866,0,1,Not Graduate,Freelancer,18,Education,,,,,0
Business,49974,4460891,180,1312325,1,4,Graduate,Salaried,29,Business Expansion,,,,,1
Business,83967,1131557,180,322119,0,3,Not Graduate,Self-Employed,20,Renovation,,,,,0
Business,140011,1206912,36,180715,1,2,Not Graduate,Freelancer,0,Business Expansion,,,,,1
Business,47381,482028,36,66276,0,4,Graduate,Salaried,29,Refinance,,,,,0
Business,74015,2940170,36,683826,0,0,Graduate,Business Owner,11,Education,,,,,0
Business,124585,1408107,120,400784,0,4,Graduate,Salaried,11,Purchase,,,,,0
Business,86920,2893647,24,451655,0,2,Not Graduate,Freelancer,17,Purchase,,,,,0
Business,174898,634762,60,160480,0,4,Not Graduate,Business Owner,11,Refinance,,,,,0
Business,169519,4033574,180,1139842,1,1,Not Graduate,Self-Employed,9,Purchase,,,,,1
Business,95375,2795940,120,349359,0,3,Graduate,Freelancer,0,Business Expansion,,,,,0
Business,175007,2459527,240,679269,1,2,Not Graduate,Freelancer,20,Purchase,,,,,1
Business,59855,315532,240,94322,1,3,Not Graduate,Freelancer,28,Business Expansion,,,,,1
Business,94183,4836182,360,904651,0,3,Graduate,Salaried,3,Purchase,,,,,0
Business,152428,2868522,24,492555,1,3,Not Graduate,Self-Employed,26,Business Expansion,,,,,0
Business,116906,53072,60,11895,1,3,Not Graduate,Business Owner,16,Renovation,,,,,1
Business,103582,1892402,360,558256,0,1,Not Graduate,Self-Employed,21,Education,,,,,0
Business,154283,3629279,60,276755,1,1,Graduate,Freelancer,17,Renovation,,,,,1
Business,107420,2481448,60,199450,0,4,Not Graduate,Salaried,29,Business Expansion,,,,,0
Business,63041,1061936,36,74867,1,4,Not Graduate,Business Owner,11,Refinance,,,,,1
Business,194101,2452971,12,602189,0,0,Graduate,Self-Employed,28,Refinance,,,,,0
Business,118487,1022103,120,297519,0,1,Graduate,Salaried,18,Renovation,,,,,0
Business,84239,285851,12,43045,1,3,Not Graduate,Business Owner,15,Purchase,,,,,1
Business,137293,2583428,240,709863,0,2,Not Graduate,Business Owner,22,Refinance,,,,,0
Business,57815,2535139,60,725512,0,3,Graduate,Freelancer,5,Refinance,,,,,0
Business,108847,71785,36,6768,0,4,Not Graduate,Business Owner,22,Renovation,,,,,0
Business,46454,1251051,360,103773,0,1,Graduate,Freelancer,21,Business Expansion,,,,,0
Business,56186,3336382,36,507765,1,2,Graduate,Self-Employed,21,Refinance,,,,,0
Business,151422,1402034,120,248930,1,4,Graduate,Freelancer,24,Business Expansion,,,,,1
Business,24843,3639752,12,711235,1,4,Graduate,Self-Employed,21,Refinance,,,,,0
Business,34555,1750803,360,110328,1,1,Not Graduate,Business Owner,1,Refinance,,,,,1
Business,27134,4332710,180,467524,1,3,Not Graduate,Salaried,27,Renovation,,,,,0
Business,94248,2523000,36,479897,0,4,Graduate,Salaried,27,Education,,,,,0
Business,155955,727550,12,175195,0,1,Graduate,Salaried,19,Business Expansion,,,,,0
