Loan_Type,Income,LoanAmount,Tenure,DownPayment,Credit_History,Dependents,Education,EmploymentType,Experience,LoanPurpose,PropertyValue,GoldValue,SecurityValue,CoApplicantIncome,Loan_Approved
Personal,108604,519800,180,46859,0,2,Not Graduate,Business Owner,13,Business Expansion,,,,,0
Personal,157651,1217747,240,249554,1,1,Graduate,Business Owner,4,Renovation,,,,,1
Personal,68150,2851341,240,176450,0,4,Not Graduate,Salaried,21,Purchase,,,,,0
Personal,17054,4372005,12,375942,1,3,Not Graduate,Self-Employed,2,Purchase,,,,,0
Personal,107034,4972045,36,792508,1,2,Graduate,Business Owner,15,Business Expansion,,,,,0
Personal,52040,184619,120,9323,0,3,Not Graduate,Freelancer,0,Renovation,,,,,0
Personal,196282,4208549,12,696653,1,3,Not Graduate,Business Owner,18,Refinance,,,,,0
Personal,124928,477702,24,119561,1,0,Not Graduate,Salaried,8,Refinance,,,,,1
Personal,39675,4520624,24,1204729,0,3,Graduate,Self-Employed,4,Refinance,,,,,0
Personal,102466,4298659,360,1192761,0,3,Not Graduate,Self-Employed,19,Renovation,,,,,0
Personal,29042,1645531,24,98246,0,4,Graduate,Business Owner,0,Education,,,,,0
Personal,68094,3498946,120,627222,0,3,Graduate,Freelancer,28,Refinance,,,,,0
Personal,54676,3857559,36,1030287,1,0,Not Graduate,Salaried,6,Purchase,,,,,0
Personal,137248,577394,360,152727,0,1,Graduate,Self-Employed,3,Education,,,,,0
Personal,39096,2129610,120,260615,1,4,Not Graduate,Self-Employed,3,Business Expansion,,,,,1
Personal,52476,1194255,360,286177,1,0,Graduate,Salaried,16,Education,,,,,1
Personal,75235,2960808,240,667327,1,3,Not Graduate,Business Owner,3,Business Expansion,,,,,1
Personal,27606,4636011,36,743783,0,2,Not Graduate,Salaried,27,Education,,,,,0
Personal,181065,512210,12,83491,0,4,Not Graduate,Self-Employed,28,Refinance,,,,,0
Personal,136494,1645901,240,164096,0,2,Graduate,Business Owner,2,Education,,,,,0
Personal,180537,1730544,120,395333,0,1,Graduate,Salaried,26,Education,,,,,0
Personal,182494,3873100,180,267605,1,3,Graduate,Business Owner,29,Business Expansion,,,,,1
Personal,197997,738842,240,99986,0,1,Graduate,Business Owner,9,Refinance,,,,,0
Personal,69292,3051146,12,827820,0,0,Not Graduate,Freelancer,20,Refinance,,,,,0
Personal,142523,1641336,120,287750,1,1,Not Graduate,Self-Employed,19,Education,,,,,1
Personal,161220,1762118,24,469620,0,1,Graduate,Self-Employed,27,Renovation,,,,,0
Personal,131228,2906039,120,773884,0,0,Graduate,Business Owner,18,Education,,,,,0
Personal,95035,1390490,240,373222,0,2,Graduate,Salaried,8,Refinance,,,,,0
Personal,25779,3672964,24,626588,1,0,Not Graduate,Self-Employed,23,Renovation,,,,,0
Personal,169966,4544239,180,997875,0,4,Not Graduate,Salaried,28,Renovation,,,,,0
Personal,190043,1334504,360,197200,0,3,Not Graduate,Salaried,14,Purchase,,,,,0
Personal,184254,2283984,240,669069,0,1,Graduate,Freelancer,14,Business Expansion,,,,,0
Personal,141122,2381123,240,286698,1,4,Graduate,Freelancer,22,Refinance,,,,,1
Personal,158619,3914912,36,1164293,1,3,Graduate,Self-Employed,30,Purchase,,,,,1
Personal,140827,4424092,360,760174,1,3,Not Graduate,Salaried,19,Business Expansion,,,,,1
Personal,148350,970771,12,252180,0,4,Not Graduate,Salaried,23,Refinance,,,,,0
Personal,194132,2330560,180,681744,1,0,Graduate,Business Owner,12,Purchase,,,,,1
Personal,61945,3234036,120,321851,0,3,Graduate,Self-Employed,12,Business Expansion,,,,,0
Personal,144080,1560806,120,333068,0,2,Graduate,Freelancer,8,Business Expansion,,,,,0
Personal,104571,4077906,180,918727,0,1,Not Graduate,Business Owner,5,Purchase,,,,,0
Personal,195701,772823,240,187848,1,3,Graduate,Salaried,12,Purchase,,,,,1
Personal,79046,1577116,36,333189,0,3,Not Graduate,Salaried,2,Business Expansion,,,,,0
Personal,61614,1787616,180,179015,0,3,Not Graduate,Business Owner,25,Renovation,,,,,0
Personal,179992,2444537,120,130251,0,2,Not Graduate,Business Owner,23,Education,,,,,0
